user_id,group,revenue,clicked,converted,retained_7d,complained,segment,device,country
clean_win_control_01675,control,10.04,0,0,1,0,returning_user,ios,GB
clean_win_treatment_00656,treatment,11.34,0,1,0,0,returning_user,ios,US
clean_win_treatment_00889,treatment,10.25,0,0,0,0,returning_user,web,US
clean_win_treatment_01467,treatment,11.98,0,0,0,0,high_value,ios,DE
clean_win_treatment_01159,treatment,11.23,1,0,1,0,new_user,ios,GB
clean_win_control_00673,control,8.24,1,0,1,0,high_value,ios,GB
clean_win_control_01615,control,12.54,0,0,1,0,new_user,ios,US
clean_win_treatment_01676,treatment,9.38,0,0,1,0,high_value,ios,GB
clean_win_treatment_00062,treatment,10.32,1,1,0,0,new_user,android,CA
clean_win_treatment_00147,treatment,10.71,0,0,1,0,returning_user,web,CA
clean_win_treatment_01631,treatment,11.57,1,0,0,0,returning_user,web,DE
clean_win_treatment_00844,treatment,9.6,0,0,0,0,returning_user,web,CA
clean_win_treatment_01040,treatment,13.47,0,0,1,0,new_user,ios,GB
clean_win_control_01947,control,10.74,0,0,1,0,new_user,android,DE
clean_win_treatment_00445,treatment,10.57,1,0,0,0,returning_user,web,US
clean_win_control_00309,control,7.52,0,0,1,0,returning_user,ios,GB
clean_win_treatment_01805,treatment,12.25,0,0,0,0,returning_user,ios,CA
clean_win_control_00900,control,11.0,0,0,0,0,returning_user,web,DE
clean_win_treatment_01093,treatment,12.05,0,0,0,0,new_user,android,US
clean_win_treatment_00874,treatment,12.21,0,0,1,0,returning_user,android,CA
clean_win_treatment_00863,treatment,11.21,0,0,1,0,returning_user,ios,CA
clean_win_treatment_00264,treatment,11.65,0,0,1,0,returning_user,ios,GB
clean_win_control_01034,control,12.54,0,0,0,0,returning_user,web,US
clean_win_treatment_01843,treatment,8.98,1,0,1,0,returning_user,ios,DE
clean_win_control_01701,control,7.77,1,1,0,0,new_user,ios,DE
clean_win_treatment_01049,treatment,10.36,1,1,1,0,returning_user,android,DE
clean_win_control_01290,control,10.22,1,0,1,0,returning_user,android,DE
clean_win_control_01521,control,12.79,0,0,0,0,high_value,android,US
clean_win_control_00377,control,9.49,0,0,1,0,new_user,web,GB
clean_win_treatment_00755,treatment,10.23,1,0,0,0,new_user,ios,US
clean_win_treatment_01077,treatment,12.91,1,0,0,0,high_value,web,CA
clean_win_treatment_00159,treatment,10.67,1,0,0,0,new_user,web,DE
clean_win_treatment_01742,treatment,13.42,0,0,0,0,new_user,ios,DE
clean_win_control_00734,control,9.43,1,0,1,0,returning_user,android,DE
clean_win_treatment_01222,treatment,13.21,0,0,0,0,returning_user,web,DE
clean_win_treatment_01850,treatment,9.75,0,0,1,0,new_user,ios,GB
clean_win_treatment_00736,treatment,10.34,0,0,0,0,returning_user,web,GB
clean_win_control_00036,control,9.97,0,0,1,0,high_value,android,DE
clean_win_treatment_00932,treatment,10.05,0,0,1,0,new_user,android,US
clean_win_control_01213,control,10.31,0,0,0,0,new_user,android,US
clean_win_control_00060,control,9.37,1,0,0,0,new_user,ios,DE
clean_win_treatment_00955,treatment,8.81,1,0,1,0,returning_user,android,GB
clean_win_control_00095,control,9.16,0,0,0,0,high_value,android,GB
clean_win_treatment_01821,treatment,12.25,0,0,1,0,returning_user,web,US
clean_win_treatment_00820,treatment,10.18,0,0,0,0,new_user,ios,CA
clean_win_control_00186,control,10.29,0,0,0,0,returning_user,ios,US
clean_win_treatment_01045,treatment,10.47,1,0,0,0,new_user,android,CA
clean_win_control_00816,control,9.68,0,0,0,0,new_user,ios,DE
clean_win_control_01270,control,10.2,0,0,1,0,returning_user,web,DE
clean_win_treatment_00255,treatment,9.91,0,0,0,0,returning_user,android,US
clean_win_treatment_00166,treatment,11.56,0,0,0,0,new_user,ios,US
clean_win_control_00862,control,9.57,0,1,0,0,returning_user,ios,CA
clean_win_control_00075,control,9.0,0,0,0,0,new_user,android,US
clean_win_treatment_01339,treatment,9.29,0,0,1,0,new_user,web,CA
clean_win_control_01205,control,7.69,0,0,1,0,new_user,android,GB
clean_win_control_00544,control,12.55,0,0,0,0,returning_user,android,DE
clean_win_control_00191,control,12.12,0,0,0,0,new_user,ios,GB
clean_win_control_01413,control,9.62,0,0,0,0,new_user,web,CA
clean_win_treatment_00097,treatment,10.69,1,0,0,0,new_user,web,CA
clean_win_treatment_01078,treatment,9.84,0,0,1,0,high_value,web,CA
clean_win_control_01909,control,9.32,0,1,0,1,new_user,android,CA
clean_win_treatment_01804,treatment,13.08,0,0,0,0,returning_user,ios,GB
clean_win_control_00345,control,8.45,0,0,1,0,new_user,android,US
clean_win_treatment_00187,treatment,10.51,0,0,0,0,new_user,ios,DE
clean_win_control_01677,control,8.84,0,0,1,0,high_value,android,US
clean_win_treatment_01824,treatment,9.83,0,0,1,0,new_user,android,DE
clean_win_control_01723,control,9.94,0,0,0,0,high_value,web,GB
clean_win_control_00440,control,11.51,1,0,1,0,high_value,ios,GB
clean_win_control_01016,control,10.83,1,0,1,0,new_user,ios,US
clean_win_treatment_00557,treatment,9.58,0,1,1,0,high_value,web,DE
clean_win_control_01898,control,10.24,0,0,0,0,high_value,web,CA
clean_win_control_00659,control,11.84,0,1,0,0,high_value,ios,DE
clean_win_control_00953,control,8.78,0,0,1,0,returning_user,ios,CA
clean_win_control_00610,control,9.48,0,0,1,0,returning_user,web,US
clean_win_control_00295,control,10.95,1,0,1,0,returning_user,web,DE
clean_win_control_01267,control,11.2,0,0,0,0,high_value,ios,GB
clean_win_treatment_00197,treatment,12.51,0,0,1,0,new_user,web,US
clean_win_control_00393,control,10.73,0,0,1,0,returning_user,ios,US
clean_win_control_01032,control,11.11,0,0,0,0,returning_user,web,DE
clean_win_control_01968,control,9.68,0,1,1,0,new_user,web,CA
clean_win_treatment_01185,treatment,10.94,1,0,1,0,returning_user,android,GB
clean_win_control_01991,control,9.26,0,0,1,0,returning_user,web,GB
clean_win_control_00680,control,8.17,0,0,1,0,returning_user,ios,US
clean_win_treatment_01540,treatment,9.94,1,0,0,0,high_value,web,DE
clean_win_treatment_01089,treatment,10.44,0,0,0,0,returning_user,android,GB
clean_win_control_01128,control,10.57,1,0,0,0,high_value,web,GB
clean_win_control_01793,control,11.28,1,0,0,0,returning_user,android,GB
clean_win_treatment_00498,treatment,12.0,0,1,1,0,new_user,ios,DE
clean_win_treatment_01674,treatment,10.57,1,0,0,0,returning_user,android,DE
clean_win_treatment_00214,treatment,11.65,0,1,0,0,returning_user,android,CA
clean_win_treatment_01359,treatment,9.22,0,0,0,0,returning_user,android,GB
clean_win_control_01254,control,7.05,0,0,1,0,new_user,ios,CA
clean_win_treatment_01981,treatment,11.02,0,0,0,0,returning_user,web,CA
clean_win_control_00540,control,8.39,0,0,1,0,new_user,ios,GB
clean_win_treatment_01068,treatment,10.78,0,0,0,0,new_user,ios,DE
clean_win_treatment_01612,treatment,11.13,0,0,1,0,new_user,ios,GB
clean_win_treatment_01953,treatment,11.06,0,0,0,0,new_user,web,US
clean_win_control_01902,control,9.67,0,0,0,0,returning_user,ios,GB
clean_win_control_01889,control,10.84,1,0,0,0,returning_user,web,GB
clean_win_control_00586,control,11.24,0,0,1,0,returning_user,web,DE
clean_win_control_00815,control,9.17,0,0,0,0,new_user,ios,GB
clean_win_treatment_00502,treatment,10.64,0,0,0,0,returning_user,ios,US
clean_win_control_01480,control,8.03,0,0,0,0,returning_user,android,US
clean_win_treatment_00067,treatment,10.3,0,0,0,0,new_user,web,US
clean_win_control_01373,control,10.99,0,1,1,0,returning_user,web,CA
clean_win_control_00743,control,8.34,0,0,0,0,high_value,android,US
clean_win_treatment_01438,treatment,12.2,0,0,0,0,new_user,web,US
clean_win_treatment_01115,treatment,12.57,1,0,1,0,new_user,web,DE
clean_win_treatment_01034,treatment,10.78,1,0,0,0,returning_user,web,DE
clean_win_treatment_00622,treatment,9.83,0,0,1,0,high_value,web,GB
clean_win_control_01048,control,9.86,0,0,0,0,new_user,android,GB
clean_win_control_01552,control,10.2,0,0,0,0,high_value,android,CA
clean_win_treatment_00975,treatment,9.85,0,0,1,0,new_user,ios,DE
clean_win_treatment_01529,treatment,11.65,0,0,1,0,new_user,web,GB
clean_win_control_00107,control,8.09,0,0,0,0,high_value,web,CA
clean_win_treatment_00510,treatment,10.04,0,0,1,0,returning_user,ios,CA
clean_win_control_01564,control,9.93,0,0,0,0,high_value,ios,DE
clean_win_treatment_00054,treatment,10.81,1,0,0,0,returning_user,android,DE
clean_win_control_01953,control,11.43,0,0,0,0,new_user,ios,CA
clean_win_treatment_01389,treatment,11.43,1,0,0,0,new_user,android,CA
clean_win_treatment_01101,treatment,11.0,0,0,1,0,high_value,ios,GB
clean_win_control_00657,control,12.13,0,0,0,0,new_user,android,US
clean_win_treatment_01125,treatment,10.09,0,1,1,0,new_user,android,US
clean_win_treatment_00481,treatment,10.78,1,0,1,0,new_user,ios,GB
clean_win_control_01686,control,11.03,0,0,0,0,new_user,web,DE
clean_win_treatment_00770,treatment,11.22,0,0,1,0,returning_user,web,GB
clean_win_control_01980,control,10.07,0,0,0,0,high_value,ios,DE
clean_win_control_01563,control,9.01,1,0,1,0,returning_user,web,DE
clean_win_treatment_00938,treatment,10.33,0,0,1,0,returning_user,web,CA
clean_win_treatment_00608,treatment,10.6,0,0,1,0,new_user,android,GB
clean_win_treatment_00390,treatment,10.78,0,0,1,0,new_user,web,US
clean_win_control_00858,control,12.04,1,0,0,0,new_user,ios,CA
clean_win_control_00710,control,8.98,0,0,1,0,returning_user,android,GB
clean_win_treatment_01873,treatment,12.03,0,0,1,0,new_user,ios,DE
clean_win_treatment_01844,treatment,10.27,0,0,0,0,returning_user,web,US
clean_win_treatment_00836,treatment,9.69,0,0,0,0,returning_user,android,US
clean_win_control_00184,control,8.32,0,0,1,0,returning_user,android,CA
clean_win_treatment_01412,treatment,12.08,0,0,1,0,returning_user,web,DE
clean_win_control_01855,control,10.95,1,0,1,0,returning_user,ios,CA
clean_win_treatment_01942,treatment,9.48,0,0,0,0,returning_user,android,DE
clean_win_treatment_01140,treatment,10.69,0,0,0,0,high_value,ios,DE
clean_win_treatment_01051,treatment,10.23,1,0,0,0,new_user,android,CA
clean_win_control_00467,control,9.76,0,0,1,0,returning_user,android,GB
clean_win_treatment_00368,treatment,10.9,0,0,1,0,returning_user,web,GB
clean_win_treatment_00627,treatment,9.95,1,0,1,0,new_user,ios,CA
clean_win_control_01320,control,11.83,0,0,1,0,high_value,android,DE
clean_win_control_00387,control,10.85,0,0,1,1,high_value,ios,CA
clean_win_control_01110,control,10.87,0,0,1,0,new_user,ios,US
clean_win_treatment_01568,treatment,10.05,0,0,1,0,returning_user,android,GB
clean_win_treatment_00990,treatment,10.4,1,0,1,0,returning_user,ios,GB
clean_win_control_01171,control,10.18,0,1,1,0,returning_user,ios,GB
clean_win_treatment_00685,treatment,12.27,0,0,0,0,returning_user,ios,GB
clean_win_treatment_01169,treatment,11.45,1,0,0,0,returning_user,web,DE
clean_win_treatment_01227,treatment,8.94,1,0,0,0,new_user,android,US
clean_win_control_00881,control,8.47,1,0,0,0,new_user,ios,CA
clean_win_treatment_01978,treatment,10.67,1,0,1,0,returning_user,web,US
clean_win_control_00805,control,8.4,0,0,0,0,high_value,android,DE
clean_win_treatment_00393,treatment,10.51,1,0,1,1,returning_user,ios,GB
clean_win_control_01607,control,10.73,0,1,1,0,returning_user,ios,CA
clean_win_control_01062,control,10.84,0,0,0,0,new_user,ios,GB
clean_win_treatment_01717,treatment,10.3,0,0,0,0,new_user,ios,DE
clean_win_control_01422,control,9.53,1,1,0,0,high_value,web,DE
clean_win_treatment_00316,treatment,13.42,0,0,0,0,high_value,ios,US
clean_win_treatment_00544,treatment,10.68,0,0,0,0,new_user,android,GB
clean_win_control_00483,control,10.73,0,0,0,0,high_value,web,GB
clean_win_treatment_01737,treatment,12.1,0,0,0,0,returning_user,android,DE
clean_win_treatment_01546,treatment,12.35,0,0,0,0,returning_user,android,GB
clean_win_control_00015,control,8.58,1,0,0,0,returning_user,web,GB
clean_win_control_00864,control,7.51,0,0,1,0,returning_user,web,DE
clean_win_treatment_00553,treatment,9.04,1,0,1,0,returning_user,web,DE
clean_win_treatment_01870,treatment,9.21,1,0,0,0,returning_user,android,US
clean_win_control_01331,control,10.23,1,1,1,0,returning_user,web,DE
clean_win_treatment_01029,treatment,11.5,0,0,0,0,returning_user,web,US
clean_win_treatment_00272,treatment,11.1,0,0,0,0,returning_user,android,DE
clean_win_control_00118,control,9.93,0,0,1,0,high_value,ios,CA
clean_win_control_01818,control,9.89,0,0,0,0,returning_user,ios,DE
clean_win_treatment_01688,treatment,11.8,0,0,0,0,high_value,web,DE
clean_win_treatment_00953,treatment,11.34,0,0,0,0,new_user,android,US
clean_win_treatment_01723,treatment,10.4,0,0,0,0,high_value,ios,GB
clean_win_control_00721,control,11.79,0,0,0,0,returning_user,ios,GB
clean_win_control_00491,control,11.21,0,0,0,0,returning_user,android,GB
clean_win_treatment_01233,treatment,12.09,0,0,1,0,new_user,ios,GB
clean_win_control_00197,control,9.34,0,0,1,0,returning_user,android,CA
clean_win_treatment_00856,treatment,10.25,0,0,1,0,returning_user,web,US
clean_win_control_00704,control,9.94,0,0,0,0,new_user,web,CA
clean_win_treatment_01393,treatment,11.82,0,0,1,0,new_user,web,CA
clean_win_treatment_00887,treatment,11.88,0,0,0,0,new_user,ios,CA
clean_win_treatment_00200,treatment,11.35,0,0,0,0,new_user,android,GB
clean_win_treatment_01241,treatment,11.83,0,0,0,0,returning_user,android,CA
clean_win_treatment_00949,treatment,9.73,0,0,0,0,returning_user,web,US
clean_win_control_00581,control,11.7,0,0,0,0,new_user,ios,GB
clean_win_treatment_00595,treatment,9.61,0,0,1,0,returning_user,ios,US
clean_win_control_01919,control,10.75,0,0,1,0,new_user,android,GB
clean_win_treatment_00104,treatment,10.33,0,0,0,0,high_value,android,DE
clean_win_control_01540,control,11.37,0,0,0,0,returning_user,android,DE
clean_win_treatment_01626,treatment,12.32,0,0,0,0,returning_user,android,US
clean_win_control_01824,control,10.34,1,0,1,0,high_value,ios,GB
clean_win_control_00407,control,10.66,0,0,1,0,new_user,android,GB
clean_win_control_00119,control,7.73,0,0,0,0,returning_user,web,US
clean_win_control_01603,control,9.23,0,0,1,0,returning_user,android,GB
clean_win_control_00582,control,10.48,0,0,1,0,high_value,android,CA
clean_win_control_00431,control,11.78,0,0,1,0,returning_user,android,US
clean_win_control_00788,control,10.83,0,0,0,0,returning_user,android,US
clean_win_control_00719,control,9.01,0,0,1,0,high_value,web,CA
clean_win_control_01255,control,10.85,0,0,0,0,returning_user,android,CA
clean_win_control_01905,control,9.51,0,0,0,0,returning_user,ios,US
clean_win_control_01420,control,8.96,0,0,0,0,returning_user,ios,GB
clean_win_control_00242,control,9.63,1,0,1,0,new_user,ios,DE
clean_win_control_01426,control,9.4,0,0,1,0,high_value,ios,GB
clean_win_control_00487,control,10.26,1,0,1,0,returning_user,ios,CA
clean_win_treatment_00494,treatment,10.54,0,0,1,0,high_value,ios,CA
clean_win_treatment_01451,treatment,12.39,1,0,0,0,returning_user,ios,US
clean_win_control_01502,control,9.04,0,1,1,0,returning_user,web,DE
clean_win_treatment_00326,treatment,11.46,1,0,0,0,new_user,web,GB
clean_win_treatment_00725,treatment,11.03,0,0,0,0,new_user,ios,GB
clean_win_control_01178,control,11.52,0,0,0,0,high_value,ios,DE
clean_win_control_01082,control,10.78,0,0,0,0,new_user,web,US
clean_win_control_01650,control,8.89,0,0,1,0,returning_user,android,GB
clean_win_control_00663,control,10.19,0,0,1,0,new_user,ios,CA
clean_win_control_00989,control,9.84,0,0,0,0,returning_user,ios,GB
clean_win_control_01873,control,10.63,0,0,0,0,returning_user,android,DE
clean_win_treatment_00571,treatment,10.45,1,0,0,0,returning_user,web,US
clean_win_treatment_00283,treatment,11.38,0,0,1,0,returning_user,ios,US
clean_win_control_00250,control,8.67,0,0,1,0,new_user,android,US
clean_win_control_01692,control,9.06,1,0,1,0,new_user,ios,CA
clean_win_control_00910,control,10.51,0,0,0,0,returning_user,android,GB
clean_win_treatment_00278,treatment,9.69,1,0,1,0,returning_user,android,US
clean_win_control_01573,control,11.02,0,0,1,0,returning_user,web,DE
clean_win_control_01149,control,10.79,1,0,0,0,new_user,web,GB
clean_win_control_01244,control,10.33,1,0,1,0,returning_user,web,CA
clean_win_treatment_00448,treatment,8.64,0,0,0,0,returning_user,android,DE
clean_win_control_01933,control,10.41,0,0,1,0,new_user,android,US
clean_win_treatment_00520,treatment,9.85,0,1,1,0,returning_user,web,DE
clean_win_control_01998,control,8.84,1,0,0,0,returning_user,web,CA
clean_win_control_00708,control,9.08,0,0,0,0,new_user,ios,CA
clean_win_control_00103,control,10.62,0,0,1,0,high_value,web,DE
clean_win_control_00847,control,10.22,0,0,1,0,new_user,ios,US
clean_win_treatment_01055,treatment,11.94,0,0,1,0,returning_user,web,CA
clean_win_control_01129,control,11.83,0,0,0,0,high_value,android,US
clean_win_control_01372,control,10.61,0,0,1,0,new_user,ios,US
clean_win_control_00071,control,10.17,0,0,0,0,new_user,web,US
clean_win_control_00980,control,8.51,0,0,1,0,returning_user,android,CA
clean_win_control_00238,control,9.98,0,1,1,0,new_user,android,GB
clean_win_control_00702,control,11.48,1,0,0,0,returning_user,web,US
clean_win_control_01117,control,9.44,0,1,0,0,returning_user,ios,DE
clean_win_treatment_00552,treatment,11.98,0,0,1,0,returning_user,ios,CA
clean_win_control_00094,control,9.55,1,0,0,0,high_value,android,CA
clean_win_treatment_01433,treatment,10.97,0,0,1,0,returning_user,android,GB
clean_win_treatment_00534,treatment,9.9,0,1,1,0,new_user,ios,CA
clean_win_control_00319,control,7.97,0,0,1,0,new_user,android,US
clean_win_control_00188,control,6.41,0,0,0,0,high_value,android,US
clean_win_treatment_00216,treatment,12.32,0,1,0,0,returning_user,web,CA
clean_win_control_01801,control,9.21,0,0,0,0,new_user,web,GB
clean_win_treatment_01192,treatment,11.91,0,0,1,0,new_user,web,CA
clean_win_control_00474,control,10.43,0,1,0,0,returning_user,android,CA
clean_win_treatment_01663,treatment,9.88,0,0,0,0,new_user,ios,US
clean_win_treatment_00380,treatment,9.93,1,0,1,0,new_user,web,US
clean_win_control_00270,control,8.5,0,0,1,0,new_user,web,CA
clean_win_control_01347,control,10.55,0,0,0,0,returning_user,web,US
clean_win_treatment_00628,treatment,12.91,0,0,1,0,returning_user,ios,CA
clean_win_treatment_01025,treatment,9.92,0,0,1,0,returning_user,ios,CA
clean_win_control_00438,control,8.98,0,0,1,0,returning_user,web,US
clean_win_treatment_01597,treatment,12.31,1,0,0,0,new_user,android,DE
clean_win_treatment_01858,treatment,9.14,0,1,1,0,returning_user,android,DE
clean_win_treatment_01898,treatment,12.13,0,0,1,0,high_value,web,CA
clean_win_control_01874,control,9.83,0,0,0,0,high_value,android,CA
clean_win_control_00304,control,10.45,0,0,1,0,new_user,ios,DE
clean_win_control_00914,control,10.37,0,0,0,0,high_value,web,DE
clean_win_control_00385,control,8.92,0,0,1,0,high_value,web,CA
clean_win_treatment_00383,treatment,10.22,0,0,1,0,returning_user,android,DE
clean_win_treatment_00378,treatment,9.99,1,0,0,0,new_user,web,DE
clean_win_treatment_01001,treatment,12.78,1,0,1,0,new_user,web,DE
clean_win_treatment_00823,treatment,11.7,0,0,1,0,high_value,android,DE
clean_win_treatment_00207,treatment,11.71,0,1,0,0,high_value,ios,US
clean_win_treatment_01311,treatment,10.65,0,0,1,0,high_value,web,CA
clean_win_control_00707,control,10.32,0,0,1,0,new_user,ios,US
clean_win_treatment_01213,treatment,8.1,1,0,1,0,high_value,android,CA
clean_win_control_00957,control,11.09,0,0,1,0,returning_user,ios,DE
clean_win_treatment_00923,treatment,11.31,0,0,0,0,new_user,android,DE
clean_win_control_00196,control,8.68,0,0,1,0,returning_user,web,CA
clean_win_treatment_00385,treatment,10.75,0,0,0,0,returning_user,ios,DE
clean_win_control_00367,control,10.74,0,0,1,0,new_user,android,US
clean_win_treatment_01618,treatment,12.43,1,0,0,0,returning_user,ios,US
clean_win_treatment_00224,treatment,12.5,0,0,0,0,returning_user,android,CA
clean_win_treatment_01734,treatment,12.13,0,0,0,0,new_user,android,US
clean_win_treatment_01301,treatment,11.18,0,0,0,0,new_user,ios,US
clean_win_control_01268,control,8.89,0,0,0,0,new_user,ios,GB
clean_win_control_00470,control,9.83,1,0,1,0,high_value,android,CA
clean_win_control_01395,control,11.59,0,0,1,0,new_user,web,DE
clean_win_control_01252,control,10.39,0,0,1,1,returning_user,ios,DE
clean_win_treatment_00083,treatment,12.04,0,0,1,0,new_user,ios,GB
clean_win_treatment_00236,treatment,8.06,1,0,0,0,new_user,android,US
clean_win_treatment_01454,treatment,11.24,0,0,1,0,returning_user,ios,DE
clean_win_control_00591,control,11.88,1,0,0,0,high_value,android,US
clean_win_treatment_01351,treatment,9.66,0,0,1,0,returning_user,web,DE
clean_win_treatment_00691,treatment,11.21,0,0,0,0,returning_user,web,CA
clean_win_treatment_00069,treatment,9.85,0,0,1,0,returning_user,web,US
clean_win_treatment_00724,treatment,10.06,0,0,1,0,returning_user,web,CA
clean_win_control_00857,control,10.24,0,0,0,0,high_value,android,CA
clean_win_control_00844,control,9.16,0,0,0,0,high_value,web,GB
clean_win_treatment_00419,treatment,9.96,1,0,0,0,returning_user,web,US
clean_win_control_01732,control,8.5,1,0,1,0,returning_user,android,DE
clean_win_treatment_00918,treatment,10.6,0,0,1,0,returning_user,web,CA
clean_win_treatment_00112,treatment,14.71,1,0,0,0,new_user,web,CA
clean_win_treatment_00681,treatment,11.09,0,0,1,0,returning_user,android,DE
clean_win_control_00937,control,10.78,1,1,0,0,returning_user,android,DE
clean_win_control_00140,control,10.95,0,0,0,0,returning_user,android,GB
clean_win_treatment_01846,treatment,11.81,1,1,0,0,returning_user,web,DE
clean_win_control_00021,control,10.1,1,0,0,0,new_user,android,CA
clean_win_control_01059,control,9.99,0,0,0,0,returning_user,web,DE
clean_win_control_00641,control,9.62,1,0,1,0,returning_user,ios,CA
clean_win_control_00326,control,10.95,0,0,0,0,returning_user,ios,DE
clean_win_treatment_01712,treatment,11.69,0,0,0,0,returning_user,web,GB
clean_win_control_00532,control,10.3,0,0,0,0,new_user,web,US
clean_win_treatment_00158,treatment,12.17,0,0,1,0,new_user,web,CA
clean_win_control_00786,control,10.48,1,0,0,0,new_user,web,US
clean_win_treatment_01264,treatment,9.28,0,0,0,0,returning_user,web,US
clean_win_control_01141,control,10.27,0,0,1,0,returning_user,ios,DE
clean_win_control_01092,control,9.75,0,1,1,0,high_value,web,DE
clean_win_control_01979,control,9.12,0,0,0,0,new_user,android,GB
clean_win_control_01512,control,9.78,1,0,0,0,new_user,ios,US
clean_win_treatment_00912,treatment,11.38,1,0,0,0,new_user,ios,CA
clean_win_treatment_00899,treatment,12.71,0,0,1,0,returning_user,ios,GB
clean_win_control_01183,control,9.87,0,0,1,0,returning_user,ios,CA
clean_win_treatment_00561,treatment,12.93,0,0,1,0,high_value,android,GB
clean_win_control_00160,control,9.52,1,0,1,0,high_value,ios,GB
clean_win_treatment_00727,treatment,10.66,0,1,0,0,high_value,android,CA
clean_win_control_01726,control,9.91,0,0,1,0,high_value,web,DE
clean_win_treatment_01957,treatment,10.17,0,0,1,0,returning_user,android,US
clean_win_treatment_01600,treatment,9.78,1,0,0,0,high_value,web,GB
clean_win_control_00039,control,12.46,0,0,1,0,high_value,web,CA
clean_win_treatment_01053,treatment,12.52,0,0,0,0,new_user,web,CA
clean_win_control_01020,control,8.36,0,0,0,0,new_user,web,DE
clean_win_treatment_00489,treatment,11.91,0,0,0,0,new_user,android,CA
clean_win_treatment_00141,treatment,9.43,0,0,1,0,new_user,web,DE
clean_win_control_00046,control,7.27,0,0,1,0,returning_user,ios,GB
clean_win_control_00622,control,9.35,1,0,0,0,new_user,web,CA
clean_win_treatment_00635,treatment,11.08,0,0,1,0,new_user,android,GB
clean_win_treatment_00961,treatment,11.85,0,0,1,0,returning_user,web,CA
clean_win_treatment_01802,treatment,12.32,0,0,0,0,new_user,web,GB
clean_win_treatment_01835,treatment,10.32,0,0,1,0,new_user,web,DE
clean_win_control_01575,control,10.87,0,0,1,0,returning_user,ios,CA
clean_win_control_00097,control,10.43,0,0,0,0,returning_user,web,US
clean_win_control_00982,control,10.33,0,0,0,0,returning_user,web,GB
